run_name,category,id,input,expected,actual,error_margin,overlap_match,schema_pass,schema_error,pass_fail,reasoning,generation_latency_ms,judge_latency_ms
gpt-oss-120b_prompts-v1,answer_evaluation,ae_17,Redis just saves everything to disk automatically ,"[0, 2]",1.2,0,1/3,True,,PASS,"The answer is largely incorrect and incomplete. It fails to describe Redis's actual persistence mechanisms (RDB snapshots, AOF) and does not discuss the associated tradeoffs such as performance impact, durability guarantees, and configuration options.",1175,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_18,There's some kind of snapshot thing and also a log,"[3, 5]",1.8,2.2,0/2,True,,FAIL,The answer barely mentions Redis persistence mechanisms and provides no substantive detail or analysis of tradeoffs.,2380,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_19,"gRPC uses HTTP/2 and Protocol Buffers, giving you ","[9, 10]",8.2,1.3000000000000007,"Hallucinated: ['Details on deadline/cancellation propagation and built‑in error handling', 'Considerations around tooling, debugging, and ecosystem maturity', 'Limitations such as browser support, need for gRPC‑web, and learning curve', 'Versioning and backward compatibility strategies']",True,,FAIL,"The candidate correctly identifies the primary technical advantages of gRPC (HTTP/2, protobuf, performance, streaming, strong typing, code generation) and contrasts them with REST's simplicity and broad compatibility. The explanation is clear and concise.",1257,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_20,gRPC is newer so it's just generally better and fa,"[1, 3]",1.7,0,1/4,True,,PASS,"The answer is overly simplistic and technically inaccurate. It claims gRPC is universally better without providing any supporting details, trade‑offs, or context.",1225,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_21,Something about protobuf being faster than JSON.,"[3, 5]",2.7,1.2999999999999998,2/3,True,,FAIL,"The candidate mentions only that protobuf is faster than JSON, which is a correct but extremely superficial reason. The answer lacks depth, omits many key advantages of gRPC, and provides no clear explanation or context.",1055,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_22,The dependency array tells React when to re-run th,"[9, 10]",8.2,1.3000000000000007,"Hallucinated: ['Default behavior when the dependency array is omitted (effect runs after every render)', 'Exact comparison algorithm (Object.is) used by React', 'How to stabilize function/object dependencies with useCallback or useMemo', 'Potential extra renders or cleanup issues from incorrect deps']",True,,FAIL,"The candidate correctly explains the purpose of the dependency array and the main pitfalls of missing, empty, or over‑specified dependencies. The answer is accurate and concise, showing solid understanding, but it omits a few nuances such as the default behavior when the array is omitted, how React compares dependencies (Object.is), and strategies like useCallback/useMemo to avoid unnecessary re‑runs.",2542,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_23,"It just controls when the effect runs, you usually","[2, 4]",2.3,0,0/3,True,,PASS,"The answer is overly brief and misses key concepts. It only mentions that the dependency array controls when the effect runs and suggests leaving it empty, without explaining why the array exists, how it prevents stale closures, avoids unnecessary re-renders, or prevents infinite loops, nor what the consequences are of omitting or mis‑specifying dependencies.",5345,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_24,The dependency array is optional and React automat,"[0, 2]",1.2,0,0/2,True,,PASS,"The answer is fundamentally incorrect. It claims React automatically determines dependencies via AI, which is false, and does not explain the purpose of the dependency array or the effects of misusing it.",4352,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_25,"A Deployment manages stateless, interchangeable po","[9, 10]",8.0,1.5,"Hallucinated: ['Deployment uses ReplicaSets and supports rolling updates and flexible scaling policies', 'StatefulSet provides ordered, graceful rollout and termination (pod‑0 before pod‑1, etc.)', 'Use of headless Services for stable DNS entries', 'volumeClaimTemplates for per‑pod PVCs', 'Pod management policies (Parallel vs OrderedReady) and update strategies']",True,,FAIL,"The candidate correctly identified the core distinction: Deployments are for stateless, interchangeable pods, while StatefulSets provide stable identities and persistent storage for stateful workloads. The explanation is accurate and includes a relevant example (databases).",4595,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_26,StatefulSets are for stateful apps and Deployments,"[3, 5]",2.8,1.2000000000000002,0/3,True,,FAIL,"The answer captures the high‑level distinction that Deployments are typically used for stateless workloads while StatefulSets target stateful workloads, but it lacks depth and omits key technical differences.",5529,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_27,"There's no real difference, Kubernetes treats all ","[0, 1]",0.5,0,0/3,True,,PASS,"The answer is fundamentally incorrect; it claims there is no difference between Deployment and StatefulSet, ignoring key distinctions.",3166,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_28,CAP theorem says a distributed system can only gua,"[9, 10]",7.2,2.3,"Hallucinated: ['Clarification that CAP is about guarantees during a partition, not overall system behavior', 'Discussion of the CA case and why it is unrealistic in distributed settings', 'Explanation of consistency models (strong vs eventual consistency)', 'Trade‑offs such as latency, fault tolerance, and how systems handle conflicts', 'Other real‑world systems and design choices (e.g., Dynamo, MongoDB, etc.)', 'Impact of network partitions on availability vs consistency decisions']",True,,FAIL,"The candidate correctly states the core idea of the CAP theorem and gives appropriate examples of CP and AP systems, but the explanation is brief and lacks depth on nuances, trade‑offs, and additional real‑world considerations.",4463,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_29,"You can have consistency, availability, and partit","[0, 2]",1.0,0,0/3,True,,PASS,The answer is fundamentally incorrect and provides no meaningful explanation of the CAP theorem.,4326,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_30,It's about consistency and availability being hard,"[3, 5]",1.8,2.2,1/3,True,,FAIL,"The answer is overly brief and vague, only mentioning consistency and availability without explaining the theorem, omitting partition tolerance, the trade‑off triangle, or real‑world examples.",3188,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_31,Session-based auth stores session state server-sid,"[9, 10]",8.6,0.9000000000000004,"Hallucinated: ['Typical storage locations for JWTs (cookie vs. localStorage) and associated security implications', 'Token size and impact on network overhead', 'Use of refresh tokens and short‑lived access tokens', 'Potential CSRF considerations for session cookies vs. JWTs', 'Performance trade‑offs of signature verification vs. DB lookups']",True,,FAIL,"The candidate correctly explains the core distinction between server‑side session storage and self‑contained JWTs, covering stateless verification, scaling benefits, and revocation challenges.",4400,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_32,JWT is more modern and secure so you should always,"[1, 3]",1.2,0,0/3,True,,PASS,"The answer is overly simplistic, factually inaccurate, and provides no explanation of the core differences between JWT and session-based authentication.",3182,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_33,JWT doesn't need a database lookup and sessions do,"[3, 5]",2.1,1.9,0/2,True,,FAIL,"The answer is overly brief and only mentions one superficial difference (database lookup) without explaining the core concepts, trade‑offs, or security considerations of JWT vs. session authentication.",4399,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_34,Cache-aside (lazy loading): the app checks the cac,"[9, 10]",8.0,1.5,"Hallucinated: ['Explicit cache invalidation strategies for cache‑aside (TTL, events)', 'Potential race conditions / cache stampede in cache‑aside', 'Details on read‑after‑write guarantees and cache miss scenarios in write‑through', 'Comparison with write‑behind (as a related strategy)', 'Impact on delete/eviction handling']",True,,FAIL,"The candidate correctly identified the core mechanics and trade‑offs of cache‑aside vs. write‑through, highlighting lazy loading, staleness, consistency, and latency impacts.",4275,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_35,"Both strategies are the same thing, they just cach","[0, 2]",1.0,0,0/3,True,,PASS,The answer is technically incorrect and lacks any meaningful explanation of the two caching strategies.,4164,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_36,,"[0, 0]",,N/A,0/3,False,Score not a number,FAIL,,0,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_37,A stub returns predetermined/canned responses to c,"[8, 10]",8.2,0,"Hallucinated: ['Concrete examples or code snippets illustrating each', 'Discussion of other test double types (fake, spy, dummy) and where mocks/stubs fit', 'Guidelines on when to prefer stubs vs mocks', 'Trade‑offs such as state verification vs behavior verification', 'Framework‑specific considerations or limitations']",True,,PASS,The candidate correctly distinguishes stubs (pre‑programmed responses) from mocks (which also record interactions for verification) and notes the risk of brittle tests when overusing mocks.,4230,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_38,Mocking and stubbing are just two different words ,"[0, 2]",1.2,0,0/2,True,,PASS,"The answer is technically incorrect; mocking and stubbing are distinct concepts in unit testing. The candidate provides no explanation, examples, or nuance.",3294,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_1,Honestly I've never really used Python in a real p,True,True,,,,,PASS,Honestly I've never really used Python in a real project.,5818,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_2,I've never actually worked on migrating a monolith,True,True,,,,,PASS,I've never actually worked on migrating a monolith to microservices before.,6276,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_3,Actually we never used a relational database on th,True,True,,,,,PASS,Actually we never used a relational database on that project.,4956,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_4,"Later, once two more engineers joined, we split th",False,False,,,,,PASS,N/A,6886,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_5,Yeah I actually used React Native for the mobile v,False,False,,,,,PASS,N/A,5921,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_6,"At my current startup, I'm the only developer on t",False,False,,,,,PASS,N/A,5773,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_7,"On the internal admin dashboard project, we went w",False,False,,,,,PASS,N/A,5892,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_8,"For the analytics pipeline, we used MongoDB becaus",True,True,,,,,PASS,"For the analytics pipeline, we used MongoDB because the schema was too unstable for a relational model early on.",5022,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_9,For that project we had a full integration test su,True,True,,,,,PASS,For that project we had a full integration test suite that I helped maintain weekly.,7258,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_10,"When I set up our Kubernetes cluster, I configured",True,True,,,,,PASS,"When I set up our Kubernetes cluster, I configured the ingress controller and horizontal pod autoscaling myself.",8325,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_11,"For simpler components in the same app, I just use",False,False,,,,,PASS,N/A,5062,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_12,I have extensive experience with GraphQL.,False,False,,,,,PASS,N/A,3180,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_13,On this particular hotfix under a production outag,True,True,,,,,PASS,"On this particular hotfix under a production outage, I skipped writing tests and shipped the fix directly, then added tests after.",7559,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_14,On this particular hotfix under a production outag,False,False,,,,,PASS,N/A,7353,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_15,I've also worked with Azure for a different client,False,False,,,,,PASS,N/A,5799,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_16,I've also worked with Azure for a different client,True,True,,,,,PASS,I've also worked with Azure for a different client's infrastructure.,7031,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_17,Including the initial planning phase before coding,False,True,,,,,FAIL,"Including the initial planning phase before coding started, the whole thing spanned closer to 5 months.",6297,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_18,Actually it took almost a year in total.,True,True,,,,,PASS,Actually it took almost a year in total.,6379,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_19,My teammate handled the payments module while I bu,True,True,,,,,PASS,My teammate handled the payments module while I built the rest.,7117,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_20,My teammate handled the payments module while I bu,False,False,,,,,PASS,N/A,6528,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_21,"I mentioned French, but honestly I only know a few",True,True,,,,,PASS,"I mentioned French, but honestly I only know a few basic phrases from Duolingo.",5057,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_22,"I mentioned French, but honestly I only know a few",False,True,,,,,FAIL,"I mentioned French, but honestly I only know a few basic phrases from Duolingo.",5108,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_23,"For that same release process, we actually used ca",True,True,,,,,PASS,"For that same release process, we actually used canary deployments, gradually shifting traffic percentage.",7411,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_24,"For that release process, we used canary deploymen",False,False,,,,,PASS,N/A,6029,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_25,"In that project, I fine-tuned a BERT model for sen",True,True,,,,,PASS,"In that project, I fine-tuned a BERT model for sentiment classification.",5123,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_26,"In that project, I called a sentiment-analysis API",False,False,,,,,PASS,N/A,7278,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_27,My friend actually reviewed my PRs and suggested t,True,True,,,,,PASS,My friend actually reviewed my PRs and suggested the caching layer.,5338,0
gpt-oss-120b_prompts-v1,contradiction_detection,cd_28,My friend gave me some feedback on the UI at one p,False,False,,,,,PASS,N/A,6029,0
gpt-oss-120b_prompts-v1,question_generation,qg_1,"Consider a distributed consensus protocol that uses a leader-based approach with log replication. Suppose the network can exhibit Byzantine faults and the protocol must tolerate up to f faulty nodes in a cluster of size N. Design an algorithm that extends Raft to handle Byzantine faults while maintaining safety and liveness. Outline the key changes, the cryptographic primitives required, and analyze the message complexity and fault tolerance threshold.",PASS,PASS,,,,,PASS,"The question asks the candidate to design an extension of Raft to handle Byzantine faults, requiring deep understanding of leader-based consensus, quorum calculations, cryptographic mechanisms, and complexity analysis. It goes beyond a simple definition and demands senior-level reasoning about algorithmic modifications, safety/liveness guarantees, and fault tolerance thresholds, thus satisfying the criteria.",1333,3221
gpt-oss-120b_prompts-v1,question_generation,qg_2,"Explain how you would implement a multi-stage Docker build to optimize image size for a production environment, detailing how you would manage layer caching, handle build arguments, and ensure that sensitive data (e.g., credentials) are not included in the final image.",PASS,PASS,,,,,PASS,"The question, while labeled under a beginner-friendly topic, asks for detailed implementation of multi-stage Docker builds, layer caching strategies, handling of build arguments, and security considerations to exclude sensitive data. This requires advanced understanding of Docker build mechanics, optimization techniques, and security best practices, making it appropriately challenging for a difficulty rating of 5/5 and satisfying the criteria.",872,2087
gpt-oss-120b_prompts-v1,question_generation,qg_3,What is the role of the kube-apiserver in a Kubernetes cluster?,PASS,FAIL,,,,,FAIL,"The question asks about the specific role of the kube-apiserver, a control plane component. While the topic label 'Kubernetes Architecture' is advanced, the question itself requires knowledge beyond a truly introductory level (e.g., pods or nodes). Therefore it is not genuinely introductory and is too hard for a difficulty rating of 1/5.",540,2251
gpt-oss-120b_prompts-v1,question_generation,qg_4,"Describe how you would use the useReducer hook to manage complex state in a component, and explain how it compares to using Redux for that same state.",PASS,PASS,,,,,PASS,"The question explicitly asks the candidate to describe using useReducer for complex state and to compare it with using Redux, directly building on the candidate's mention of Redux and meeting the specified criteria.",1451,2815
gpt-oss-120b_prompts-v1,question_generation,qg_5,"You have a table with columns A, B, and C, and you frequently run queries that filter on B and C but rarely on A. The existing composite index is (A, B, C). According to the left‑most prefix rule, this index will not be used for those B‑and‑C queries. What indexing strategy would you adopt to support the B‑and‑C queries efficiently? Discuss the trade‑offs in terms of index size, maintenance overhead, and query performance.",PASS,PASS,,,,,PASS,"The question builds on the basic left‑most prefix concept by asking the candidate to design a new indexing strategy for B‑and‑C queries, evaluate trade‑offs (size, maintenance, performance), and consider alternatives such as separate or composite indexes. This advances the difficulty level and does not simply repeat earlier coverage, satisfying the escalation requirement.",1394,1199
gpt-oss-120b_prompts-v1,question_generation,qg_6,"Design a real-time chat application that supports group chats, message history, and read receipts.",PASS,PASS,,,,,PASS,"The question, while covering a broad system (real-time chat), specifies concrete features (group chats, message history, read receipts) that make it a well-defined design problem suitable for evaluation. It is not overly generic and provides enough scope for a focused discussion.",825,3700
gpt-oss-120b_prompts-v1,question_generation,qg_7,"Describe the difference between microtasks and macrotasks in the JavaScript event loop. Provide an example where a promise resolution (microtask) is executed before a setTimeout callback (macrotask), and explain why this ordering occurs.",PASS,PASS,,,,,PASS,"The question explicitly asks about the JavaScript event loop, focusing on the distinction between microtasks and macrotasks, and requires an example demonstrating the execution order of a promise (microtask) versus a setTimeout callback (macrotask). This directly addresses event loop mechanics and async timing, satisfying the specified criteria.",1026,2061
gpt-oss-120b_prompts-v1,question_generation,qg_8,Can you explain how a token bucket algorithm works and how you might use it to limit API requests?,PASS,PASS,,,,,PASS,"The question is appropriately low difficulty (2/5) and asks for a basic explanation of the token bucket algorithm and its application to API rate limiting. This aligns with the criteria that, at this difficulty level, a candidate might give a weak or incomplete answer, and the interviewer's correct response would be a supportive follow-up or simpler decomposition rather than escalating to a harder or unrelated question. Therefore, the generated interview question meets the specified criteria.",749,2526
gpt-oss-120b_prompts-v1,question_generation,qg_9,"Explain how Redis handles persistence with RDB snapshots and AOF logs, and how you would configure a hybrid persistence strategy. What are the trade-offs between using only RDB, only AOF, or both, and in what production scenarios would you choose each approach?",PASS,PASS,,,,,PASS,"The question probes deep knowledge of Redis persistence mechanisms (RDB snapshots, AOF logs), asks for configuration of a hybrid strategy, and requires analysis of trade-offs and appropriate production scenarios. This goes beyond basic definitions and aligns with senior-level topics such as persistence trade-offs, making it a valid senior-level Redis interview question.",793,2777
gpt-oss-120b_prompts-v1,question_generation,qg_10,What is a .proto file and what is its purpose in gRPC?,PASS,PASS,,,,,PASS,"The question asks for a basic definition of a .proto file and its purpose in gRPC, which is a fundamental introductory concept. It does not delve into advanced topics like streaming internals or performance optimizations, aligning with the requirement for a difficulty level of 1/5. While it is more specific than a high‑level \",935,2012
gpt-oss-120b_prompts-v1,question_generation,qg_11,"If you choose JWTs for authentication, how would you handle situations where user data changes frequently (e.g., role updates or account status changes) without performing a database lookup on every request? What are the trade‑offs of storing such data in the token versus querying a database each time?",PASS,PASS,,,,,PASS,"The question specifically asks how to handle frequent user data changes with JWTs without DB lookups and to discuss trade‑offs of embedding data versus querying. This naturally invites a shallow answer (e.g., \",800,4551
gpt-oss-120b_prompts-v1,question_generation,qg_12,"Suppose you have a distributed system with multiple microservices that all need to read and write user profile data. You decide to use a distributed cache (e.g., Redis Cluster) to reduce database load. Describe how you would handle cache invalidation to ensure eventual consistency, and discuss the trade‑offs between write‑through, write‑back, and cache‑aside strategies in this context.",PASS,PASS,,,,,PASS,"The question asks the candidate to design a cache invalidation approach for eventual consistency and to compare write‑through, write‑back, and cache‑aside strategies in a distributed microservice environment. This requires reasoning about specific caching strategies, their trade‑offs, and how they interact with invalidation, rather than merely defining caching. Therefore it meets the criteria.",758,4133
gpt-oss-120b_prompts-v1,question_generation,qg_13,"What is the difference between unit testing and integration testing, and can you give an example of each?",PASS,PASS,,,,,PASS,"The question asks for a basic distinction between unit and integration testing and requests simple examples, which aligns with an approachable, foundational testing question appropriate for a difficulty level of 2. It does not delve into advanced topics such as mocking frameworks or internal implementation details.",686,1736
gpt-oss-120b_prompts-v1,question_generation,qg_14,"Given your understanding of mocks and stubs, how would you design a test strategy for a component that interacts with a third‑party API that has rate limiting and intermittent failures? Describe the mix of mocks, stubs, and integration tests you would use, provide a concrete example of the test structure (including any setup or teardown logic), and explain the trade‑offs in terms of coverage, speed, and reliability.",PASS,PASS,,,,,PASS,"The question requires a deep, multi‑faceted answer: the candidate must outline a nuanced test strategy, differentiate between mocks, stubs, and integration tests, provide concrete test code (setup/teardown), and discuss trade‑offs such as coverage, speed, reliability, brittleness from over‑mocking, contract testing, and test‑pyramid considerations. This goes beyond a basic answer and forces escalation to higher‑order thinking, satisfying the difficulty 5 criteria without merely repeating the same distinction.",965,1048
gpt-oss-120b_prompts-v1,question_generation,qg_15,"How would you expose a service externally using an Ingress resource, and what are the key components involved in that setup?",PASS,PASS,,,,,PASS,"The question is clear, appropriately scoped for a moderate difficulty level, and focuses on exposing a service via an Ingress resource along with its key components. It does not deviate into unrelated or harder topics, thus satisfying the given criteria.",792,5031
gpt-oss-120b_prompts-v1,question_generation,qg_16,What is eventual consistency and how does it differ from strong consistency in distributed databases?,PASS,PASS,,,,,PASS,"The question asks for a definition of eventual consistency and a comparison with strong consistency. This targets fundamental consistency concepts in distributed databases, which are core to the CAP theorem but does not delve into complex protocols like Paxos or Raft. It is an approachable, conceptual question suitable for a low‑moderate difficulty (2/5) interview level.",1057,1509
gpt-oss-120b_prompts-v1,question_generation,qg_17,What command would you use to list all running Docker containers?,PASS,PASS,,,,,PASS,"The question is straightforward and aligns with an easy difficulty level for Docker basics. Asking for the command to list running containers (docker ps) is a fundamental operation, comparable in simplicity to 'what is a Docker image', thus satisfying the sanity-check criteria.",712,4673
gpt-oss-120b_prompts-v1,question_generation,qg_18,"In a highly available Kubernetes control plane, describe the architecture and operation of the kube-apiserver leader election mechanism, including how etcd replication and quorum affect API server consistency, and explain how this design influences the availability and performance of cluster operations.",PASS,PASS,,,,,PASS,"The question targets a complex, advanced aspect of Kubernetes control plane internals—kube-apiserver leader election, etcd replication/quorum, and their impact on consistency, availability, and performance. This aligns with the expectation for a hard (5/5) difficulty question on a hard topic, meeting the criteria for a genuinely advanced interview prompt.",1257,1166
gpt-oss-120b_prompts-v1,question_generation,qg_19,"Can you design a custom hook that uses useSyncExternalStore to subscribe to an external event emitter, ensuring compatibility with concurrent mode? Provide an implementation, explain how you would handle selector stability, cleanup, and potential pitfalls, and outline how you would test it.",PASS,PASS,,,,,PASS,"The question requires the candidate to design a custom hook using the advanced API `useSyncExternalStore`, consider concurrent mode compatibility, selector stability, cleanup, and pitfalls—topics that go beyond basic hook knowledge. It explicitly asks for implementation details, handling of memoization and concurrent rendering concerns, and testing strategy, satisfying the advanced criteria.",1137,3257
gpt-oss-120b_prompts-v1,question_generation,qg_20,"Your candidate said they would use a token bucket algorithm with Redis. Now, suppose you need to support hierarchical limits (global, tenant, and per-user) that can be updated at runtime, and you must guarantee consistency even in the presence of network partitions and Redis node failures. How would you design the data model, consistency strategy, and failure handling for such a distributed rate limiter?",PASS,PASS,,,,,PASS,"The follow‑up question builds on the candidate's initial token‑bucket answer and pushes them into a more complex scenario (hierarchical limits, runtime updates, consistency under partitions and node failures). It asks for data model, consistency strategy, and failure handling, which are new dimensions not covered by the basic answer. This probes an edge case appropriate for difficulty 5 without repeating the same ground, satisfying the criteria.",1125,2410
